STOREID,STREET,CITY,PROV,LAT,LONG
103204,2363 Warden Ave.,Toronto,ON,43.78492,-79.31045
100938,800 Lawrence Avenue East,Toronto,ON,43.734843,-79.35466
102340,150 Dupont St,Toronto,ON,43.67581,-79.40256
103584,745 College St,Toronto,ON,43.655025,-79.41963
102314,381 Mount Pleasant Rd,Toronto,ON,43.69817,-79.38643
102094,1521 Yonge St,Toronto,ON,43.68912,-79.39454
101893,150 Kilgour Rd,Toronto,ON,43.717683,-79.373345
102470,1840 Bayview Ave.,Toronto,ON,43.71362,-79.377552
103030,3030 Birchmount Rd,Toronto,ON,43.801492,-79.30784
103483,726 Bloor Street West,Toronto,ON,43.663642,-79.418052
101434,160 Kendal Ave,Toronto,ON,43.675952,-79.410015
104007,1480 Queen St W,Toronto,ON,43.640487,-79.437188
102529,1110 Bathurst St,Toronto,ON,43.67316,-79.41439
100024,2075 Sheppard Ave E,Toronto,ON,43.775287,-79.334145
103233,603 Davenport Road,Toronto,ON,43.67679,-79.41222
101894,860 York Mills Rd,Toronto,ON,43.75468,-79.35202
100836,1910 Yonge St,Toronto,ON,43.698332,-79.396599
102448,2075 Bayview Ave,Toronto,ON,43.721076,-79.378944
102449,2075 Bayview Ave.,Toronto,ON,43.721076,-79.378944
103894,2075 Bayview Avenue,Toronto,ON,43.721085,-79.378945
102967,900 Dufferin St,Toronto,ON,43.65711,-79.43429
103247,1269 College Street,Toronto,ON,43.651309,-79.438975
102876,2245 Yonge Street,Toronto,ON,43.70606,-79.398241
104139,2275 Bayview Ave,Toronto,ON,43.72746,-79.38165
103149,1094 Bloor St W,Toronto,ON,43.660118,-79.434154
103145,1800 Sheppard Ave E,Toronto,ON,43.775516,-79.345184
103188,866 Avenue Rd.,Toronto,ON,43.69875,-79.406131
100823,2377 Yonge St,Toronto,ON,43.70907,-79.39883
100843,2500 Don Mills Rd,Toronto,ON,43.77509,-79.34703
103185,550 St. Clair Avenue West,Toronto,ON,43.682672,-79.420721
102512,4751 Leslie St.,Toronto,ON,43.76871,-79.36433
102937,4001 Leslie St,Toronto,ON,43.769475,-79.364289
102695,3400 Victoria Park Rd,Toronto,ON,43.80407,-79.3363
